gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000009273	7.77	10.98	10.64	6.45	7.73	11	6.98	8.94	6.17	9.09	9.67	7.66
ENSDARG00000009280	8.38	0.72	0.26	1.7	1.41	1.37	0.43	0.82	11.98	1.34	0.91	0.74
ENSDARG00000009281	42.66	15.84	37.44	49.43	64.1	30.67	32.38	38.22	36.87	49.96	45.06	63.72
ENSDARG00000009285	514.67	1245.82	462.58	579.75	786.3	674.79	673.41	780.19	1099.26	606.63	574.33	586.38
ENSDARG00000009299	21.85	5.92	26.23	21.82	22.88	17.2	21.41	22	15.88	25.6	24.48	23.99
ENSDARG00000009311	375.59	898.42	309.48	204.76	149.62	279.77	327.36	165.93	115.58	233.39	337.08	142
ENSDARG00000009313	5.33	2.12	2.84	2.48	4.82	3.84	8.14	10.56	12.13	3.73	5.08	4.53
ENSDARG00000009315	55.99	45.62	55.52	58.75	62.16	55.53	54.41	44.95	45.26	58.33	56.5	45.26
ENSDARG00000009336	29.96	31.23	38.34	37.67	31.03	30.42	34.6	34.06	27.85	34.53	33.97	31.56
ENSDARG00000009341	1.36	1.28	1.42	0.22	0.12	2.56	1.19	0.47	1.61	0.38	0.66	0.12
ENSDARG00000009342	8.13	9.34	9.23	11.61	12.81	7.8	12.46	19.72	22.25	10.88	6.68	10.75
ENSDARG00000009346	38.22	43.07	37.95	39.8	41.78	38.17	33.12	38.7	32.46	35.01	35.53	39.65
ENSDARG00000009350	27.39	31.09	28.09	27.64	24.21	24.16	26.32	28.83	26.37	25.11	22.64	26.79
ENSDARG00000009351	5.48	1.83	5.16	3.18	4.09	4.28	6.94	3.18	2.89	5.45	5.7	6.02
ENSDARG00000009372	2.15	0.7	2.48	4.05	4.72	1.75	5.17	2.01	4.55	5.81	6.15	4.07
ENSDARG00000009387	1.65	1.36	2.88	3.81	13.29	1.65	4.31	6.51	5.63	14.73	16.26	8.69
ENSDARG00000009390	4.81	8.57	4.57	4.09	3.56	4.57	2.46	4.22	5.22	3.18	3.96	4.1
ENSDARG00000009401	1.42	0.61	2.06	2.11	3.79	1.66	5.66	7.49	2.55	2.96	4.14	2.89
ENSDARG00000009402	0.17	0.02	1.02	0.23	0.03	1.11	0.36	0.67	2.37	0.23	0	0.08
ENSDARG00000009418	21.27	4.39	9.12	30.94	44.38	4.89	18.52	37.01	15.31	35.33	32.84	28.57
ENSDARG00000009430	0.16	0.13	0.31	0.46	0.41	0.65	0.19	0.32	0.48	0.33	0.29	0.34
ENSDARG00000009436	21	19.46	21.94	19.67	20.13	27.07	18.87	16.93	16.07	18.5	19.36	15.1
ENSDARG00000009438	0.25	0	0	0	0	0	0	0	0.22	0	0	0
ENSDARG00000009443	0	0	0	0.1	0	0	0	0	0.05	0	0	0
ENSDARG00000009447	223.1	636.53	272.8	291.93	231.16	331.56	412.82	425.51	374.2	452.6	434	408.92
ENSDARG00000009459	3.85	0.13	4.67	3.21	2.83	2.34	3.32	3.06	3.35	2.63	4.32	4.55
ENSDARG00000009466	0	0	0	0	0	0.07	0	0.11	0	0.1	2.07	0
ENSDARG00000009470	0	0	0	0	0	0	0	0.05	0	0	0	0
ENSDARG00000009471	0.06	0	0	0.09	0.04	0.13	0.2	0.08	0.2	0.08	0.08	0.19
ENSDARG00000009472	67.18	87.63	47.96	48.96	71.33	53.68	35.95	46.45	48.68	42.28	49.66	48.73
ENSDARG00000009473	6.05	6.43	5.8	6.2	5.5	6.14	4.98	6.69	6.69	5.25	4.63	5.09
ENSDARG00000009477	9.29	4.98	8.16	5.58	3.59	6.7	1.9	2.11	5.91	4.21	11.06	7.14
ENSDARG00000009480	55.55	47.21	53.14	43.41	55.79	52.27	34.87	40.33	35.49	37.79	42.92	42.98
ENSDARG00000009482	0	0	0	0.06	0.18	0	0.23	0	0	0.05	0.06	0
ENSDARG00000009484	3.91	3.9	3.5	3.5	4.52	3.39	8.02	9.96	10.84	3.35	4.38	3.62
ENSDARG00000009488	5.23	4.83	3.31	6.84	5.91	4.02	6.01	15.26	16.78	3.97	2.51	5.44
ENSDARG00000009493	3.37	0.37	4.11	3.16	5.45	2.94	5.88	2.88	4.26	5.8	6.53	4.64
