gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000002479	0.82	0.65	0.16	0.71	1.05	0.21
ENSDARG00000002483	0.12	0.18	0.06	0	0	0
ENSDARG00000002487	12.54	13.77	12.58	11.04	9.05	13.69
ENSDARG00000002494	0.46	0.58	0.2	0.49	0.17	0.16
ENSDARG00000002506	56.45	57.41	71.25	81.01	82.05	79.31
ENSDARG00000002507	0.68	0.43	0.9	2	0.75	0.51
ENSDARG00000002508	0	0	0	0.15	0.09	0
ENSDARG00000002509	0.18	0.28	0.53	0.11	1	0.94
ENSDARG00000002510	5.9	9.43	2.77	0.12	9.88	0.99
ENSDARG00000002523	52.68	53.02	51.83	45.5	42.08	39.04
ENSDARG00000002533	3.67	2.28	4.46	2.65	2.19	0.68
ENSDARG00000002536	37.24	34.84	38.1	32.09	36.73	24.65
ENSDARG00000002538	27.37	25.09	30.77	28.76	26.31	25.7
ENSDARG00000002546	155.16	146.57	133.27	190.03	176.86	176.06
ENSDARG00000002549	47.39	40.54	43.94	43	34.01	37.23
ENSDARG00000002552	19.47	26.18	19.11	20.85	21.77	23.61
ENSDARG00000002564	58.97	72.79	91.8	59.62	80.16	65.77
ENSDARG00000002571	19.2	18.72	20.6	15.11	18.25	12.24
ENSDARG00000002576	18.75	38.48	21.24	25.27	4.56	22.82
ENSDARG00000002582	1.7	0.57	0.56	1.07	0.33	0.85
ENSDARG00000002587	164.37	138.16	171.94	192.84	178.83	85.14
ENSDARG00000002589	2.5	3.89	6.59	6.72	4.21	5.07
ENSDARG00000002591	39	37.92	35.82	39.09	46.61	34.53
ENSDARG00000002593	0.42	0.35	0	0.1	0.09	1.69
ENSDARG00000002597	1.23	0.07	0.19	2.85	0.07	0
ENSDARG00000002600	190.17	121.44	237.65	121.29	182.94	33.21
ENSDARG00000002601	2.4	1.57	2.13	2.26	3.19	0.94
ENSDARG00000002607	11.85	9.4	17.89	13.34	16.08	2.3
ENSDARG00000002609	29.93	34.43	24.31	39.59	32.51	24.92
ENSDARG00000002613	6.69	6.63	9.45	10.67	4.39	12.47
ENSDARG00000002632	70.65	62.9	66.97	55.18	49.72	41.41
ENSDARG00000002635	85.93	77.21	60.24	83.51	82.33	68.88
ENSDARG00000002642	22.25	19.74	15.42	26.22	15.83	11.89
ENSDARG00000002644	40.02	14.78	20.53	22.11	13.87	2.69
ENSDARG00000002656	60.45	55.74	67.54	51	75.72	26.94
ENSDARG00000002659	81.85	81.51	79.44	80.67	87	83.46
ENSDARG00000002663	26.63	33.21	21.23	24.29	23.66	30.68
ENSDARG00000002666	2.73	4.34	4.46	3.49	3.54	1.76
ENSDARG00000002670	37.56	30.72	26.78	33.35	34.89	42.36
ENSDARG00000002682	13.79	13.64	12.04	9.6	12.84	6.08
ENSDARG00000002685	0	0	0	0	0	0
ENSDARG00000002690	18.04	22.2	26.04	21.95	19.61	20.46
ENSDARG00000002696	0.39	146.24	0	0	0	4.35
ENSDARG00000002701	4.79	3.23	3.28	5.64	4.42	0.76
ENSDARG00000002707	0	0	0.51	0.31	0.15	0.95
ENSDARG00000002710	182.32	188.65	162.38	188.43	235.47	161.37
ENSDARG00000002720	8.3	13.49	10.6	8.9	10.08	12.63
ENSDARG00000002728	5.73	3.39	8.1	7.16	7.08	0.14
ENSDARG00000002731	75.98	65.53	73.8	58.66	69.9	15.59
ENSDARG00000002732	1.12	0.69	1.11	1.33	1.66	1.42
