ensembl_gene_id	tpm_Tert_1	tpm_Tert_2	tpm_Tert_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000003205	17.63	18.11	13.56	18.68	15.46	15.21
ENSDARG00000003206	98.23	80.18	69.22	94.05	112.15	119.29
ENSDARG00000003207	16.67	18.35	14.2	18.41	23.92	26.45
ENSDARG00000003208	5.02	6.64	5.19	3	5.06	4.25
ENSDARG00000003213	32.38	35.81	56.61	38.49	35.37	30.07
ENSDARG00000003216	179.64	205.31	419.55	72.68	39.58	41.1
ENSDARG00000003217	5.33	6.52	4.2	7.78	5.9	2.68
ENSDARG00000003219	1.82	2.76	0.98	1.46	3.18	0.65
ENSDARG00000003229	0	0	0.07	0	0	0
ENSDARG00000003235	28.46	29.16	26.78	35.9	31.77	35.4
ENSDARG00000003244	42.95	49.18	52.9	53.36	45.68	48.36
ENSDARG00000003250	16.54	24.65	17.33	25.67	32.68	12.03
ENSDARG00000003251	5.4	7.37	6.64	6.06	11.23	3.05
ENSDARG00000003257	9.69	12.4	9.84	13.91	13.84	16.06
ENSDARG00000003259	2.7	5.24	1.96	7.74	2.4	0.17
